Unique ID,Status of Request,Assigned To Name,Target Date for Deployment,Requestor Name,Requested For Name,New Workstation Name,Workstation Purpose,Permanent Location,Site Location,Support Team,System Point of Contact Name,System Custodian Name,System Owner Name,Cost Center_Budget Number-CIR,Budget Owner Name,Number of workstations being ordered,Secure Desktop
53,Submitted,,,Sachin Kumar Shetty,Shaik Sadiq,,test,test,IDAP,,Sreeraghu K V,,,,,1,FALSE
52,Deployed,Sreeraghu K V,31-Dec-22,Girish Kulakarni,Sreeraghu K V,TC_20_21_26,test,test,Others,,Uday Kumar Kankalapathi,John Hofer,Malashree B,test,Vinodhini Raviprasad,10,TRUE
51,Deployed,,,Sachin Kumar Shetty,Shaik Sadiq,,test,test,IDAP,,,,,,,1,FALSE
50,Submitted,,,Girish Kulakarni,,,test,test,GMS,,,,,,,1,FALSE
49,Submitted,,,Shaik Sadiq,,,test,test,GMS,,,,,,,1,FALSE
48,Submitted,,,Sreeraghu K V,,,test,test,IDAP,,,,,,,1,FALSE
47,Draft,,,Girish Kulakarni,Sreeraghu K V,,test,test,GMS,,,,,,,1,TRUE
46,Submitted,,,Sreeraghu K V,,,test,tets,IDAP,,,,,,,1,FALSE
45,Submitted,,,Sreeraghu K V,,,test,test,GMS,,,,,,,1,FALSE
44,Submitted,,,Sreeraghu K V,,,test,test,IndyAPI,,,,,,,1,FALSE
43,Submitted,,,Sreeraghu K V,,,test,test,IDAP,,,,,,,1,TRUE
42,Submitted,,,Sreeraghu K V,,,test,test,GMS,,,,,,,1,FALSE
41,Submitted,,,Sreeraghu K V,Pragya Rai,,test,test,IDM,,,,,,,1,FALSE
40,Submitted,,,Shaik Sadiq,Sachin Kumar Shetty,,Test,Test,IDAP,,,,,CDR,,1,FALSE
39,Submitted,,,Shaik Sadiq,,,Test,Test,IndyAPI,,,,,,,1,FALSE
38,Submitted,,,Shaik Sadiq,Sachin Kumar Shetty,,Test,Test,IDAP,,,,,,,1,FALSE
37,Draft,,,Sachin Kumar Shetty,Shaik Sadiq,,test,test,ETC,,Shaik Sadiq,Sreeraghu K V,Sreeraghu K V,1,,1,FALSE
36,Submitted,,,Shaik Sadiq,Shaik Sadiq,,Test,Test,IDM,,,,,,,1,FALSE
35,Submitted,,,Shaik Sadiq,,,Test,Test,GMS,,,,,,,1,FALSE
34,Submitted,,,Shaik Sadiq,,,Test,Test,GMS,,,,,,,1,FALSE
33,Submitted,,,Shaik Sadiq,,,Test,Test,ETC,,,,,,,1,FALSE
32,Deployed,Shaik Sadiq,28-Dec-22,Sreeraghu K V,Girish Kulakarni,CDR,test,test,IndyAPI,CDR,Malashree B,Sreeraghu K V,Namratha R,cdr,Sreeraghu K V,1,TRUE
31,Assigned,Shaik Sadiq,31-Dec-22,Shaik Sadiq,,,test,test,ETC,,,,,,,1,FALSE
30,Draft,,,Shaik Sadiq,,,test,test,ETC,,,,,,,1,FALSE
29,Draft,,,Shaik Sadiq,,,test,test,GQL,,,,,,,1,FALSE
28,Draft,,,Shaik Sadiq,,,test,test,Others,,,,,,,1,TRUE
27,Assigned,Shaik Sadiq,28-Dec-22,Shaik Sadiq,,,test,test,ETC,,,,,,,1,TRUE
